id,query,cloud_environment,deployment_model,government_domain,data_classification,jurisdiction,policy_framework,governance_rule,ai_action,decision_explanation,risk_level,compliance_status,human_override_required,final_outcome,identity_context,security_control,audit_trace,timestamp,agency_type,region
FAGDD-300,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The request includes policy-sensitive data handling constraints.,On-Prem,Agency-managed on-prem orchestration with cloud failover,smart cities,Mission Critical,Cross-Border Public Sector Coalition,EU AI Act 2024,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Logged,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Low,Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-300 recorded federated policy evaluation in On-Prem; region=National; action=Logged; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-26T08:00:00,City Government,National
FAGDD-301,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The request includes policy-sensitive data handling constraints.,Hybrid,Centralized model registry with federated policy enforcement,smart cities,Public,Federal,NIST AI RMF 2023; NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Blocked,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Critical,Non-Compliant,Yes,Denied,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-301 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-26T12:11:00,City Government,Statewide
FAGDD-302,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The request includes policy-sensitive data handling constraints.,Hybrid,Regional sovereign enclave with cross-cloud model routing,smart cities,Internal,State,NIST AI RMF 2023; ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Restricted,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",High,Requires Review,Yes,Escalated,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-302 recorded federated policy evaluation in Hybrid; region=Statewide; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-02-26T16:22:00,City Government,Statewide
FAGDD-303,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The request includes policy-sensitive data handling constraints.,Hybrid,Hybrid inference pipeline with local data residency controls,smart cities,Sensitive,County,EU AI Act 2024; ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Medium,Partially Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-303 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-26T20:33:00,City Government,Statewide
FAGDD-304,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The case requires a traceable governance decision for later audit.,Hybrid,Multi-cloud governance mesh with shared audit services,smart cities,Restricted,City,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Low,Compliant,No,Approved,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-304 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-27T00:44:00,City Government,Statewide
FAGDD-305,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The case requires a traceable governance decision for later audit.,Hybrid,Agency-managed on-prem orchestration with cloud failover,smart cities,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Blocked,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Critical,Non-Compliant,Yes,Denied,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-305 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-27T04:55:00,City Government,Statewide
FAGDD-306,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The case requires a traceable governance decision for later audit.,Hybrid,Centralized model registry with federated policy enforcement,smart cities,Public,Federal,ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Escalated,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",High,Partially Compliant,Yes,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-306 recorded federated policy evaluation in Hybrid; region=Statewide; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-27T08:06:00,City Government,Statewide
FAGDD-307,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The case requires a traceable governance decision for later audit.,Hybrid,Regional sovereign enclave with cross-cloud model routing,smart cities,Internal,State,NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Medium,Partially Compliant,No,Approved with Conditions,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-307 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-27T12:17:00,City Government,Statewide
FAGDD-308,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The request originated from a cross-cloud review queue.,Hybrid,Hybrid inference pipeline with local data residency controls,smart cities,Sensitive,County,EU AI Act 2024,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Low,Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-308 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-27T16:28:00,City Government,Statewide
FAGDD-309,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The request originated from a cross-cloud review queue.,Hybrid,Multi-cloud governance mesh with shared audit services,smart cities,Restricted,City,NIST AI RMF 2023; NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Blocked,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Critical,Non-Compliant,Yes,Denied,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-309 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-27T20:39:00,City Government,Statewide
FAGDD-310,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The request originated from a cross-cloud review queue.,Hybrid,Agency-managed on-prem orchestration with cloud failover,smart cities,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Restricted,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",High,Requires Review,Yes,Escalated,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-310 recorded federated policy evaluation in Hybrid; region=Statewide; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-02-28T00:50:00,City Government,Statewide
FAGDD-311,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The request originated from a cross-cloud review queue.,Hybrid,Centralized model registry with federated policy enforcement,smart cities,Public,Federal,EU AI Act 2024; ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Medium,Partially Compliant,No,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-311 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-28T04:01:00,City Government,Statewide
FAGDD-312,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The workflow requires a transparent explanation for supervisory approval.,Hybrid,Regional sovereign enclave with cross-cloud model routing,smart cities,Internal,State,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Low,Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-312 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-28T08:12:00,City Government,Statewide
FAGDD-313,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The workflow requires a transparent explanation for supervisory approval.,Hybrid,Hybrid inference pipeline with local data residency controls,smart cities,Sensitive,County,NIST AI RMF 2023,High-impact automated decisions require dual logging and human oversight before production release.,Blocked,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Critical,Non-Compliant,Yes,Denied,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-313 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-28T12:23:00,City Government,Statewide
FAGDD-314,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The workflow requires a transparent explanation for supervisory approval.,Hybrid,Multi-cloud governance mesh with shared audit services,smart cities,Restricted,City,ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Restricted,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",High,Requires Review,Yes,Escalated,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-314 recorded federated policy evaluation in Hybrid; region=Statewide; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-02-28T16:34:00,City Government,Statewide
FAGDD-315,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The workflow requires a transparent explanation for supervisory approval.,Hybrid,Agency-managed on-prem orchestration with cloud failover,smart cities,Mission Critical,Cross-Border Public Sector Coalition,NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Allowed,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Medium,Partially Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-315 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-02-28T20:45:00,City Government,Statewide
FAGDD-316,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The decision must preserve sovereign routing and identity context evidence.,Hybrid,Centralized model registry with federated policy enforcement,smart cities,Public,Federal,EU AI Act 2024,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Low,Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-316 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-01T00:56:00,City Government,Statewide
FAGDD-317,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The decision must preserve sovereign routing and identity context evidence.,Hybrid,Regional sovereign enclave with cross-cloud model routing,smart cities,Internal,State,NIST AI RMF 2023; NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Blocked,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Critical,Non-Compliant,Yes,Denied,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-317 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-01T04:07:00,City Government,Statewide
FAGDD-318,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The decision must preserve sovereign routing and identity context evidence.,Hybrid,Hybrid inference pipeline with local data residency controls,smart cities,Sensitive,County,NIST AI RMF 2023; ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Escalated,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",High,Partially Compliant,Yes,Approved with Conditions,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-318 recorded federated policy evaluation in Hybrid; region=Statewide; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-01T08:18:00,City Government,Statewide
FAGDD-319,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The decision must preserve sovereign routing and identity context evidence.,Hybrid,Multi-cloud governance mesh with shared audit services,smart cities,Restricted,City,EU AI Act 2024; ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Medium,Partially Compliant,No,Approved with Conditions,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-319 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-01T12:29:00,City Government,Statewide
FAGDD-320,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The request includes policy-sensitive data handling constraints.,Hybrid,Agency-managed on-prem orchestration with cloud failover,smart cities,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Logged,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Low,Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-320 recorded federated policy evaluation in Hybrid; region=Statewide; action=Logged; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-01T16:40:00,City Government,Statewide
FAGDD-321,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The request includes policy-sensitive data handling constraints.,Hybrid,Centralized model registry with federated policy enforcement,smart cities,Public,Federal,NIST AI RMF 2023,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Blocked,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Critical,Non-Compliant,Yes,Denied,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-321 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-01T20:51:00,City Government,Statewide
FAGDD-322,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The request includes policy-sensitive data handling constraints.,Hybrid,Regional sovereign enclave with cross-cloud model routing,smart cities,Internal,State,ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Restricted,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",High,Requires Review,Yes,Escalated,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-322 recorded federated policy evaluation in Hybrid; region=Statewide; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-02T00:02:00,City Government,Statewide
FAGDD-323,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The case requires a traceable governance decision for later audit.,Hybrid,Hybrid inference pipeline with local data residency controls,smart cities,Sensitive,County,NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Medium,Partially Compliant,No,Approved with Conditions,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-323 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-02T04:13:00,City Government,Statewide
FAGDD-324,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The case requires a traceable governance decision for later audit.,Hybrid,Multi-cloud governance mesh with shared audit services,smart cities,Restricted,City,EU AI Act 2024,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Low,Compliant,No,Approved,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-324 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-02T08:24:00,City Government,Statewide
FAGDD-325,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The case requires a traceable governance decision for later audit.,Hybrid,Agency-managed on-prem orchestration with cloud failover,smart cities,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Blocked,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Critical,Non-Compliant,Yes,Denied,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-325 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-02T12:35:00,City Government,Statewide
FAGDD-326,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The case requires a traceable governance decision for later audit.,Hybrid,Centralized model registry with federated policy enforcement,smart cities,Public,Federal,NIST AI RMF 2023; ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Restricted,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",High,Requires Review,Yes,Escalated,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-326 recorded federated policy evaluation in Hybrid; region=Statewide; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-02T16:46:00,City Government,Statewide
FAGDD-327,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The request originated from a cross-cloud review queue.,Hybrid,Regional sovereign enclave with cross-cloud model routing,smart cities,Internal,State,EU AI Act 2024; ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Medium,Partially Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-327 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-02T20:57:00,City Government,Statewide
FAGDD-328,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The request originated from a cross-cloud review queue.,Hybrid,Hybrid inference pipeline with local data residency controls,smart cities,Sensitive,County,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Low,Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-328 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-03T00:08:00,City Government,Statewide
FAGDD-329,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The request originated from a cross-cloud review queue.,Hybrid,Multi-cloud governance mesh with shared audit services,smart cities,Restricted,City,NIST AI RMF 2023,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Blocked,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Critical,Non-Compliant,Yes,Denied,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-329 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-03T04:19:00,City Government,Statewide
FAGDD-330,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The request originated from a cross-cloud review queue.,Hybrid,Agency-managed on-prem orchestration with cloud failover,smart cities,Mission Critical,Cross-Border Public Sector Coalition,ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Escalated,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",High,Partially Compliant,Yes,Approved with Conditions,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-330 recorded federated policy evaluation in Hybrid; region=Statewide; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-03T08:30:00,City Government,Statewide
FAGDD-331,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The workflow requires a transparent explanation for supervisory approval.,Hybrid,Centralized model registry with federated policy enforcement,smart cities,Public,Federal,NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Medium,Partially Compliant,No,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-331 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-03T12:41:00,City Government,Statewide
FAGDD-332,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The workflow requires a transparent explanation for supervisory approval.,Hybrid,Regional sovereign enclave with cross-cloud model routing,smart cities,Internal,State,EU AI Act 2024,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Low,Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-332 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-03T16:52:00,City Government,Statewide
FAGDD-333,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The workflow requires a transparent explanation for supervisory approval.,Hybrid,Hybrid inference pipeline with local data residency controls,smart cities,Sensitive,County,NIST AI RMF 2023; NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Blocked,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Critical,Non-Compliant,Yes,Denied,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-333 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-03T20:03:00,City Government,Statewide
FAGDD-334,Can a hybrid municipal operations agent run predictive maintenance scoring without full audit lineage The workflow requires a transparent explanation for supervisory approval.,Hybrid,Multi-cloud governance mesh with shared audit services,smart cities,Restricted,City,NIST AI RMF 2023; ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Restricted,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",High,Requires Review,Yes,Escalated,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-334 recorded federated policy evaluation in Hybrid; region=Statewide; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-04T00:14:00,City Government,Statewide
FAGDD-335,Should a traffic coordination model be allowed to federate telemetry across city and regional clouds The decision must preserve sovereign routing and identity context evidence.,Hybrid,Agency-managed on-prem orchestration with cloud failover,smart cities,Mission Critical,Cross-Border Public Sector Coalition,EU AI Act 2024; ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Allowed,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Medium,Partially Compliant,No,Approved with Conditions,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-335 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-04T04:25:00,City Government,Statewide
FAGDD-336,Can a smart-city services assistant access camera-derived event summaries under zero-trust restrictions The decision must preserve sovereign routing and identity context evidence.,Hybrid,Centralized model registry with federated policy enforcement,smart cities,Public,Federal,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Low,Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-336 recorded federated policy evaluation in Hybrid; region=Statewide; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-04T08:36:00,City Government,Statewide
FAGDD-337,Should an urban planning model be logged only when non-sensitive sensor data crosses a sovereign boundary The decision must preserve sovereign routing and identity context evidence.,Hybrid,Regional sovereign enclave with cross-cloud model routing,smart cities,Internal,State,NIST AI RMF 2023,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Blocked,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Critical,Non-Compliant,Yes,Denied,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-337 recorded federated policy evaluation in Hybrid; region=Statewide; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-04T12:47:00,City Government,Statewide
